CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
768805383.0,Existing Customer,45.0,M,3.0,High School,Married,$60K - $80K,Blue,39.0,5.0,1.0,3.0,12691.0,777.0,11914.0,1.335,,,1.625,0.061,9.3448e-05,0.99991
818770008.0,Existing Customer,49.0,F,5.0,Graduate,Single,Less than $40K,Blue,44.0,6.0,1.0,2.0,8256.0,864.0,7392.0,1.541,1291.0,33.0,3.714,0.105,5.6861e-05,0.99994
713982108.0,Existing Customer,51.0,M,3.0,Graduate,Married,$80K - $120K,Blue,36.0,4.0,1.0,0.0,3418.0,0.0,3418.0,2.594,1887.0,20.0,2.333,0.0,2.1081e-05,0.99998
769911858.0,Existing Customer,40.0,F,4.0,High School,Unknown,Less than $40K,Blue,34.0,,4.0,1.0,3313.0,2517.0,796.0,1.405,1171.0,20.0,2.333,0.76,0.00013366,
709106358.0,Existing Customer,40.0,M,3.0,Uneducated,Married,$60K - $80K,Blue,21.0,5.0,1.0,0.0,4716.0,0.0,4716.0,2.175,816.0,28.0,2.5,0.0,2.1676e-05,0.99998
713061558.0,Existing Customer,44.0,M,2.0,Graduate,Married,$40K - $60K,Blue,36.0,3.0,1.0,2.0,4010.0,1247.0,2763.0,1.376,1088.0,24.0,0.846,0.311,5.5077e-05,0.99994
810347208.0,Existing Customer,51.0,M,4.0,Unknown,Married,$120K +,Gold,46.0,6.0,1.0,3.0,34516.0,2264.0,32252.0,1.975,1330.0,31.0,0.722,0.066,0.00012303,0.99988
818906208.0,Existing Customer,32.0,M,0.0,High School,Unknown,$60K - $80K,Silver,27.0,2.0,2.0,2.0,29081.0,1396.0,27685.0,2.204,1538.0,36.0,0.714,0.048,8.5795e-05,0.99991
710930508.0,Existing Customer,37.0,M,3.0,Uneducated,Single,$60K - $80K,Blue,36.0,5.0,2.0,,,2517.0,19835.0,3.355,1350.0,24.0,1.182,0.113,4.4796e-05,0.99996
719661558.0,Existing Customer,48.0,M,2.0,Graduate,Single,$80K - $120K,Blue,36.0,6.0,3.0,3.0,11656.0,1677.0,9979.0,1.524,1441.0,32.0,0.882,0.144,0.00030251,0.9997
708790833.0,Existing Customer,42.0,M,,Uneducated,Unknown,$120K +,Blue,31.0,5.0,3.0,2.0,6748.0,1467.0,5281.0,0.831,1201.0,42.0,0.68,0.217,0.00019094,0.99981
710821833.0,Existing Customer,65.0,M,1.0,Unknown,Married,$40K - $60K,Blue,54.0,6.0,2.0,3.0,9095.0,1587.0,7508.0,1.433,1314.0,26.0,1.364,0.174,0.00019751,0.9998
,Existing Customer,56.0,M,1.0,College,Single,$80K - $120K,Blue,36.0,3.0,6.0,0.0,11751.0,0.0,11751.0,3.397,1539.0,17.0,3.25,,4.7799e-05,0.99995
816082233.0,Existing Customer,35.0,M,3.0,Graduate,Unknown,$60K - $80K,Blue,30.0,5.0,1.0,3.0,8547.0,1666.0,6881.0,1.163,1311.0,33.0,2.0,0.195,9.6126e-05,0.9999
712396908.0,Existing Customer,57.0,F,2.0,Graduate,Married,Less than $40K,Blue,48.0,5.0,2.0,,2436.0,680.0,1756.0,1.19,1570.0,29.0,0.611,0.279,0.00011382,0.99989
714885258.0,Existing Customer,44.0,M,4.0,Unknown,Unknown,$80K - $120K,Blue,37.0,5.0,1.0,2.0,4234.0,972.0,3262.0,1.707,1348.0,27.0,1.7,0.23,6.3492e-05,0.99994
709967358.0,Existing Customer,48.0,M,4.0,Post-Graduate,Single,$80K - $120K,Blue,36.0,6.0,2.0,3.0,30367.0,2362.0,28005.0,1.708,1671.0,27.0,0.929,0.078,0.00023623,0.99976
753327333.0,Existing Customer,41.0,M,3.0,Unknown,Married,$80K - $120K,,34.0,4.0,,1.0,13535.0,1291.0,12244.0,0.653,1028.0,21.0,1.625,0.095,0.00014953,0.99985
806160108.0,Existing Customer,61.0,M,1.0,High School,Married,$40K - $60K,Blue,56.0,2.0,2.0,3.0,3193.0,2517.0,676.0,1.831,1336.0,30.0,1.143,0.788,0.00017468,0.99983
709327383.0,Existing Customer,45.0,F,2.0,,Married,Unknown,Blue,37.0,6.0,1.0,,14470.0,1157.0,13313.0,0.966,1207.0,21.0,0.909,0.08,5.5077e-05,0.99994
806165208.0,Existing Customer,47.0,,1.0,Doctorate,Divorced,,Blue,42.0,,2.0,0.0,20979.0,1800.0,19179.0,0.906,1178.0,27.0,0.929,0.086,5.703e-05,0.99994
708508758.0,Attrited Customer,62.0,F,0.0,Graduate,Married,Less than $40K,Blue,49.0,2.0,3.0,3.0,1438.3,0.0,1438.3,1.047,692.0,16.0,0.6,0.0,0.99616,0.0038363
784725333.0,Existing Customer,41.0,M,3.0,High School,Married,$40K - $60K,Blue,33.0,4.0,2.0,1.0,4470.0,680.0,3790.0,1.608,931.0,18.0,1.571,0.152,6.9242e-05,0.99993
811604133.0,Existing Customer,47.0,F,4.0,Unknown,Single,Less than $40K,Blue,36.0,3.0,3.0,2.0,2492.0,1560.0,932.0,0.573,1126.0,23.0,,,0.00020735,0.99979
789124683.0,Existing Customer,54.0,M,2.0,Unknown,Married,$80K - $120K,Blue,42.0,4.0,2.0,3.0,12217.0,0.0,12217.0,1.075,1110.0,21.0,0.75,0.0,0.00021042,0.99979
771071958.0,Existing Customer,41.0,F,3.0,Graduate,Single,Less than $40K,Blue,28.0,6.0,1.0,2.0,7768.0,1669.0,6099.0,0.797,1051.0,22.0,0.833,0.215,5.7151e-05,0.99994
720466383.0,Existing Customer,59.0,M,1.0,High School,Unknown,,,46.0,4.0,1.0,2.0,14784.0,1374.0,13410.0,0.921,1197.0,23.0,1.3,0.093,5.0256e-05,0.99995
804424383.0,Existing Customer,63.0,M,1.0,Unknown,Married,$60K - $80K,Blue,56.0,3.0,3.0,2.0,10215.0,1010.0,9205.0,0.843,1904.0,40.0,1.0,0.099,0.00018558,0.99981
718813833.0,Existing Customer,44.0,F,3.0,Uneducated,Single,Unknown,Blue,34.0,5.0,2.0,2.0,10100.0,0.0,10100.0,0.525,1052.0,18.0,1.571,0.0,0.00012144,0.99988
806624208.0,Existing Customer,47.0,M,4.0,High School,Married,$40K - $60K,Blue,42.0,6.0,,0.0,4785.0,1362.0,3423.0,0.739,1045.0,38.0,0.9,0.285,7.6642e-06,0.99999
778348233.0,Existing Customer,,M,3.0,Unknown,Married,$80K - $120K,Blue,33.0,3.0,2.0,3.0,2753.0,1811.0,942.0,0.977,1038.0,25.0,2.571,0.658,0.00021834,0.99978
712991808.0,Existing Customer,53.0,M,2.0,Uneducated,Married,$60K - $80K,Blue,48.0,2.0,5.0,1.0,2451.0,1690.0,761.0,1.323,1596.0,26.0,,0.69,0.00012458,0.99988
709029408.0,Existing Customer,41.0,M,4.0,Graduate,Married,$60K - $80K,Blue,36.0,4.0,1.0,2.0,8923.0,2517.0,6406.0,1.726,1589.0,24.0,1.667,0.282,5.7762e-05,0.99994
788658483.0,,53.0,F,,College,Married,Less than $40K,Blue,,5.0,2.0,3.0,2650.0,1490.0,1160.0,1.75,1411.0,28.0,1.0,0.562,0.00018612,0.99981
787937058.0,Existing Customer,58.0,M,0.0,Graduate,Married,$80K - $120K,Blue,49.0,6.0,2.0,2.0,12555.0,1696.0,10859.0,0.519,1291.0,24.0,0.714,0.135,9.7673e-05,0.9999
715318008.0,Existing Customer,55.0,F,1.0,College,Single,Less than $40K,,36.0,4.0,2.0,,3520.0,,1606.0,0.51,1407.0,43.0,0.483,0.544,6.2639e-05,0.99994
,,,F,3.0,Graduate,Married,Less than $40K,Blue,36.0,6.0,2.0,3.0,3035.0,2298.0,737.0,1.724,1877.0,37.0,1.176,0.757,0.00019864,0.9998
785432733.0,Existing Customer,42.0,F,4.0,High School,Married,Less than $40K,,36.0,2.0,3.0,3.0,15433.0,0.0,15433.0,0.865,966.0,22.0,1.2,0.0,0.00035532,
715190283.0,Existing Customer,57.0,F,1.0,Graduate,Unknown,$40K - $60K,Blue,49.0,3.0,3.0,2.0,3672.0,886.0,2786.0,1.32,1464.0,28.0,0.556,0.241,0.00016883,0.99983
708300483.0,Attrited Customer,,F,0.0,Doctorate,Married,Unknown,Blue,56.0,5.0,4.0,3.0,7882.0,605.0,7277.0,1.052,704.0,16.0,0.143,0.077,0.9978,0.00219708
827111283.0,Existing Customer,45.0,M,3.0,Graduate,Single,$80K - $120K,Blue,41.0,2.0,2.0,2.0,32426.0,578.0,31848.0,1.042,1109.0,28.0,0.474,0.018,0.00011811,0.99988
758551608.0,Existing Customer,51.0,M,2.0,Unknown,Married,$40K - $60K,Blue,44.0,4.0,1.0,0.0,6205.0,,4001.0,0.803,1347.0,28.0,0.556,0.355,2.2331e-05,0.99998
773146383.0,Existing Customer,50.0,F,1.0,College,Single,$40K - $60K,Silver,43.0,3.0,2.0,3.0,17304.0,2517.0,14787.0,1.449,1756.0,33.0,1.2,0.145,0.00015785,0.99984
778493808.0,Existing Customer,49.0,M,3.0,High School,Married,$60K - $80K,Blue,37.0,5.0,2.0,1.0,3906.0,0.0,3906.0,1.214,1756.0,32.0,1.0,0.0,6.9242e-05,0.99993
720572508.0,Existing Customer,38.0,F,4.0,Graduate,Single,Unknown,Blue,28.0,2.0,3.0,3.0,9830.0,2055.0,7775.0,0.977,1042.0,23.0,0.917,0.209,0.00031726,0.99968
712661433.0,Existing Customer,49.0,,4.0,Uneducated,Single,$80K - $120K,Blue,,3.0,2.0,3.0,34516.0,0.0,34516.0,1.621,1444.0,28.0,1.333,,0.00020643,0.99979
789172683.0,Existing Customer,,M,2.0,Doctorate,,$60K - $80K,,45.0,6.0,2.0,0.0,2283.0,1430.0,853.0,2.316,1741.0,27.0,0.588,0.626,6.0759e-05,0.99994
738406533.0,Existing Customer,59.0,M,1.0,Doctorate,,$40K - $60K,Blue,,3.0,2.0,2.0,2548.0,2020.0,528.0,2.357,1719.0,,1.7,0.793,0.0001546,0.99985
799723908.0,Existing Customer,46.0,M,3.0,High School,Married,$80K - $120K,Blue,40.0,4.0,3.0,3.0,19458.0,1435.0,18023.0,0.787,1217.0,,0.8,0.074,0.00030516,0.99969
771490833.0,Existing Customer,52.0,M,1.0,College,Single,$80K - $120K,Blue,40.0,5.0,1.0,1.0,4745.0,1227.0,3518.0,0.624,1140.0,40.0,0.6,0.259,3.031e-05,0.99997
720756708.0,Existing Customer,52.0,F,3.0,Unknown,Married,Less than $40K,Blue,41.0,6.0,,2.0,2622.0,1549.0,1073.0,1.321,1878.0,30.0,1.143,,0.00020516,0.99979
779471883.0,Attrited Customer,54.0,F,1.0,Graduate,Married,Less than $40K,Blue,40.0,2.0,3.0,1.0,1438.3,808.0,630.3,,705.0,19.0,0.9,0.562,0.99028,0.00972
711525033.0,Existing Customer,66.0,F,0.0,High School,Married,Less than $40K,Blue,54.0,3.0,4.0,2.0,3171.0,2179.0,992.0,1.224,1946.0,38.0,1.923,0.687,0.00018134,0.99982
712813458.0,Existing Customer,49.0,M,2.0,Unknown,Married,$120K +,Blue,36.0,4.0,2.0,0.0,19763.0,2517.0,17246.0,0.664,1414.0,35.0,0.25,0.127,4.6151e-05,0.99995
714374133.0,Attrited Customer,56.0,M,2.0,Graduate,Married,$120K +,Blue,36.0,1.0,3.0,3.0,15769.0,0.0,15769.0,1.041,602.0,15.0,0.364,0.0,0.99671,0.00329379
717891558.0,Existing Customer,49.0,F,4.0,Graduate,Unknown,Less than $40K,Blue,36.0,6.0,4.0,2.0,3298.0,2200.0,1098.0,0.678,1052.0,32.0,0.6,0.667,0.00022797,0.99977
716632758.0,,,F,3.0,,Single,Less than $40K,Blue,36.0,2.0,2.0,0.0,2802.0,2363.0,439.0,0.75,1295.0,40.0,0.6,0.843,4.3568e-05,0.99996
768563658.0,Existing Customer,56.0,M,2.0,Uneducated,Married,$40K - $60K,Blue,50.0,4.0,2.0,,4458.0,1880.0,2578.0,1.107,1424.0,29.0,1.417,,0.00019683,0.9998
711427458.0,Existing Customer,44.0,F,5.0,Graduate,Married,Unknown,Blue,35.0,,1.0,,6273.0,978.0,5295.0,2.275,1359.0,,1.083,0.156,5.6861e-05,0.99994
714091983.0,Existing Customer,42.0,,2.0,High School,Single,$60K - $80K,Blue,34.0,4.0,4.0,,3336.0,1753.0,1583.0,,1168.0,27.0,1.25,0.525,0.00035539,0.99964
787584108.0,Existing Customer,55.0,M,3.0,Unknown,Married,$80K - $120K,Blue,47.0,4.0,2.0,3.0,3436.0,2016.0,1420.0,0.901,1097.0,33.0,0.833,0.587,0.00021834,0.99978
,Attrited Customer,48.0,M,2.0,Graduate,Married,$60K - $80K,Silver,35.0,2.0,4.0,4.0,34516.0,0.0,34516.0,0.763,691.0,15.0,0.5,,0.99823,0.00177065
711481533.0,Existing Customer,39.0,M,1.0,High School,Divorced,$60K - $80K,Blue,33.0,5.0,3.0,3.0,5926.0,1251.0,4675.0,0.944,1316.0,28.0,1.154,0.211,0.00027604,0.99972
710082708.0,Existing Customer,,M,4.0,Post-Graduate,Single,$120K +,Blue,32.0,2.0,4.0,2.0,,2102.0,21855.0,0.997,1276.0,26.0,0.733,0.088,0.00026824,0.99973
708155733.0,Existing Customer,53.0,M,2.0,High School,Single,$120K +,Blue,44.0,4.0,2.0,2.0,14734.0,1634.0,13100.0,0.989,1289.0,23.0,0.917,0.111,0.00011065,0.99989
788979258.0,Existing Customer,51.0,M,,Uneducated,,$80K - $120K,Silver,38.0,4.0,1.0,,34516.0,1515.0,33001.0,0.592,1293.0,32.0,0.6,0.044,0.00015398,0.99985
807986133.0,Existing Customer,57.0,M,2.0,College,Married,$60K - $80K,Blue,52.0,5.0,3.0,3.0,6584.0,1817.0,4767.0,0.62,1353.0,35.0,0.667,0.276,0.00029411,0.99971
788730933.0,Existing Customer,44.0,F,2.0,Uneducated,Single,Less than $40K,Blue,20.0,6.0,3.0,3.0,2084.0,1468.0,616.0,1.004,1132.0,28.0,0.556,0.704,0.00031104,0.99969
,Existing Customer,49.0,M,2.0,Graduate,,$60K - $80K,Blue,32.0,2.0,2.0,,1687.0,1107.0,580.0,1.715,1670.0,17.0,2.4,0.656,0.00011382,0.99989
717975333.0,Existing Customer,50.0,M,2.0,Doctorate,Married,$80K - $120K,Blue,38.0,6.0,2.0,2.0,25300.0,1330.0,23970.0,1.072,837.0,,2.0,0.053,0.00016471,0.99984
715971108.0,,51.0,M,4.0,Graduate,Single,$120K +,Blue,42.0,3.0,2.0,3.0,34516.0,1763.0,32753.0,1.266,1550.0,41.0,,0.051,0.00020077,0.9998
720096558.0,Existing Customer,55.0,F,2.0,Graduate,Married,Less than $40K,Blue,42.0,5.0,3.0,3.0,2216.0,1034.0,1182.0,0.758,1540.0,36.0,0.286,0.467,0.00030251,0.9997
