CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Attrition_Flag
751227183.0,36.0,M,2.0,Unknown,Single,$80K - $120K,Blue,29.0,3.0,3.0,5.0,5346.0,1539.0,3807.0,0.777,2283.0,51.0,0.889,0.288,Existing Customer
789791808.0,43.0,M,4.0,High School,Married,$40K - $60K,Blue,32.0,2.0,2.0,2.0,7139.0,1512.0,5627.0,1.106,14802.0,112.0,0.75,0.212,Existing Customer
712733958.0,46.0,F,2.0,Unknown,Single,Less than $40K,Blue,36.0,6.0,3.0,3.0,1731.0,0.0,1731.0,0.529,2304.0,46.0,1.0,0.0,Attrited Customer
715651833.0,65.0,,1.0,Unknown,Single,Less than $40K,Blue,36.0,3.0,4.0,,2351.0,,2351.0,0.881,1593.0,35.0,0.591,0.0,Attrited Customer
715522233.0,45.0,F,3.0,Doctorate,Single,Less than $40K,Blue,27.0,1.0,6.0,3.0,2917.0,1523.0,1394.0,0.724,4878.0,92.0,0.804,0.522,Existing Customer
719917233.0,49.0,M,3.0,Post-Graduate,Married,$80K - $120K,Blue,36.0,3.0,3.0,2.0,13382.0,1159.0,12223.0,0.404,1828.0,45.0,0.5,0.087,Attrited Customer
719075883.0,38.0,F,3.0,High School,Married,$40K - $60K,Blue,27.0,2.0,3.0,3.0,2363.0,2033.0,330.0,0.498,3904.0,66.0,0.61,0.86,Existing Customer
771534408.0,52.0,F,2.0,College,Single,Less than $40K,Blue,40.0,4.0,3.0,3.0,2783.0,2379.0,404.0,0.912,3897.0,74.0,1.0,0.855,Existing Customer
,37.0,F,2.0,,Married,$40K - $60K,Blue,29.0,2.0,2.0,6.0,2547.0,1965.0,582.0,0.535,2160.0,46.0,0.353,0.771,Attrited Customer
710715783.0,52.0,F,1.0,Uneducated,Single,Less than $40K,Blue,45.0,5.0,2.0,3.0,1633.0,0.0,1633.0,0.725,4436.0,75.0,0.667,0.0,Existing Customer
